,Heating,Cooling,Country
100,91883.51,5905.35,USA
101,54590.8,3192.23,USA
102,17805.57,1205.42,USA
103,12342.38,7476.52,CHN
104,36.85,27795.57,BRA
105,60760.15,5229.82,USA
106,106638.45,3378.24,USA
107,4145.66,29443.11,USA
108,44555.35,2394.01,POL
109,61884.99,9356.14,USA
110,28416.74,2431.06,CHN
111,26.18,12133.65,BRA
112,28551.12,13954.97,CHN
113,47378.11,3636.15,USA
114,120020.24,1512.86,RUS
115,63384.5,8905.51,USA
116,53077.62,6135.27,USA
117,83394.44,6488.16,USA
118,8056.52,7821.13,ITA
119,11574.32,11010.41,USA
120,80292.24,266.91,USA
121,0,31202.94,BRA
122,137.24,12209.11,KEN
123,15318.26,14412.29,USA
124,37.65,23103.34,BRA
125,84338.68,7020.78,CHN
126,14043.11,21307.96,USA
127,8592.79,12174.88,CHN
128,17955.07,15112.84,USA
129,756.45,28574.95,CHN
130,101640.15,2.49,USA
131,44567.74,5827.42,USA
132,48040.06,3232.51,POL
133,5.12,39804.99,CUB
134,14250.15,18306.63,CHN
135,60165.52,5079.17,USA
136,88.33,20021.84,BRA
137,2869.61,15894.09,BRA
138,166404.34,367.91,USA
139,73609.74,7761.33,USA
140,32561.58,9440.11,USA
141,17124.65,16872.59,CHN
142,48562.71,5095.48,USA
143,59327.61,843.96,USA
144,28442.84,7935.04,USA
145,0.53,29093.78,BRA
146,53518.3,11024.54,USA
147,45840.67,21223.91,CHN
148,47994.97,8109.62,PRK
149,254.17,16148.3,BRA
150,4030.95,11533.87,BRA
151,46739.4,4918.42,UKR
152,5750.91,20696.43,USA
153,18156.6,12940.32,USA
154,91071.5,872.23,SWE
155,16954.86,12610.77,USA
156,42364.8,7666.35,USA
157,43.9,22573.66,BRA
158,0,41502.16,BRA
159,54321.72,8564.28,USA
160,9486.96,13908.84,CHN
161,26425.94,9547.63,USA
162,16029.37,17823.04,USA
163,36682.27,9546.33,USA
164,70.73,42859.34,BRA
165,4729.71,14758.73,TUN
166,34071.79,8518.08,USA
167,0.1,22027.17,USA
168,58334.45,7757.93,CHN
169,18164.58,6138.7,ITA
170,74864.17,4929.84,USA
171,2.93,27398.53,USA
172,35284.34,4997.15,USA
173,166.89,23566.33,BRA
174,69345.09,1471.08,CHN
175,38971.09,13821.95,USA
176,49026.9,10882.07,USA
177,0,33369.14,BRA
178,0,32856.59,BRA
179,92.6,20717.93,BRA
180,12439.64,17924.97,USA
181,730.49,22413.63,CHN
182,40858.43,7320.79,USA
183,16997.74,1287.75,USA
184,52004.32,2827.72,POL
185,26775.62,5157.37,USA
186,78.06,20086.99,BRA
187,23675.88,4773.36,ESP
188,61287.23,4616.3,USA
189,37806.78,6532.69,USA
190,38362.13,9531.8,USA
191,9361.4,10641.3,AUS
192,64549.65,8511.85,USA
193,47626.58,8916.68,USA
194,7818.67,5273.16,BRA
195,56592.12,7110.11,USA
196,112778.97,5694.08,CHN
197,11164.04,6453.64,ITA
198,0.04,31787.55,BRA
199,157399,844.26,USA
200,24390.39,17228.56,USA
201,86.69,20465.03,BRA
202,14590.41,17627.5,USA
203,1.56,17781.71,BRA
204,16891.7,12983.08,JPN
205,12602.57,10105.35,AUS
206,3089.89,27077.98,USA
207,0,44147.86,BRA
208,1.55,33751.62,MEX
209,35943.6,9575.81,USA
210,72120.54,4432.32,USA
211,373.18,42867.7,IND
212,10523.8,9883.85,ESP
213,51822.82,6919.17,CHN
214,3756.31,9450.05,USA
215,63659.68,1840.64,POL
216,11957.65,19293.95,USA
217,11069.95,15938.62,CHN
218,1.88,27313.14,BRA
219,30826.81,3600.6,AUS
220,41668.25,9439.14,USA
221,33812.43,8206.18,USA
222,41452.68,8515.12,USA
223,16940.88,11753.26,CHN
224,11394.15,16697.02,USA
225,36309.28,10133.11,USA
226,34127.69,7730.45,USA
227,57739.49,4808.85,USA
228,9731.1,18169.33,USA
229,12466.25,16175.89,USA
230,61967.07,9487.31,USA
231,0,39964.24,AUS
232,5.59,49235.46,IND
233,132.46,21021.75,BRA
234,0.01,26665.01,IND
235,67011.54,7835.14,USA
236,174.8,23177.77,AUS
237,17563.35,16471.78,USA
238,8671.08,11773.82,ESP
239,31756.77,11431.21,USA
240,24436.88,7466.62,ITA
241,37502.5,10287.56,USA
242,40513.11,6450.39,USA
243,0,33985.79,BRA
244,52335.96,3015.91,POL
245,14071.42,8445.14,ITA
246,44147.15,5680.95,USA
247,18579.07,9641.88,ESP
248,0,54007.54,IND
249,27088.38,15889.62,USA
250,60412.87,8325.82,CHN
251,35541.04,9673.97,USA
252,50757.62,6878.91,CHN
253,13280.76,7259.89,ITA
254,182,39751.85,IND
255,8230.45,20552.28,USA
256,143758.55,1830.42,RUS
257,39911.23,6447.6,USA
258,43843.4,9452.2,USA
259,30553.64,7378.2,USA
260,68122.68,5083.32,USA
261,115636.64,3474.56,CAN
262,48014.02,2641.21,POL
263,91801.42,6740.55,USA
264,1322.25,16687.68,BRA
265,47011.75,6575.06,USA
266,32925.32,10578.03,USA
267,22121.23,12393.65,USA
268,120716.66,4344.61,CAN
269,0,30106.05,BRA
270,47158.25,6852.01,USA
271,22742.03,14731.59,USA
272,0,38926.75,BRA
273,98186.93,3217.71,CAN
274,14024.06,15974.8,USA
275,44531.08,8954.05,USA
276,0,43376.64,MYS
277,69051.56,2149.21,BLR
278,60569.69,576.86,USA
279,58610.9,6010.54,USA
280,577.19,13917.81,BRA
281,10396.73,8739.7,FRA
282,1437.95,15721.74,BRA
283,0,28203.14,BRA
284,76214.87,1456.03,USA
285,45299.45,9133.67,CHN
286,165882.05,696.08,CAN
287,1.63,25379.9,USA
288,67283.32,5400.58,CHN
289,64122.26,4277.96,USA
290,75004.67,1069.84,CAN
291,0,46003.62,BRA
292,66228.47,4324.81,USA
293,6428.83,12474.92,USA
294,52422.11,2562.82,POL
295,6210.73,18430.67,CHN
296,0,18643.02,KEN
297,370.26,13094.06,BRA
298,50360.02,4930.96,USA
299,0,37173.33,BRA
300,53852.03,11818.55,CHN
301,27439.68,11664.01,USA
302,11354.17,5322.05,AUS
303,42688.98,11061.13,CHN
304,33732.78,12573.56,CHN
305,55068.75,7745.54,CHN
306,3493.29,29274.54,USA
307,160117.03,260.65,USA
308,0,44650.26,KEN
309,78587.61,7083.32,USA
310,59899.87,1980.22,POL
311,10508.42,6590.82,ESP
312,13994.07,20582.79,USA
313,125673.45,294.66,CHN
314,57040.72,7356.39,CHN
315,51847.47,8724.26,USA
316,24165.24,14823.64,USA
317,167.03,17139.61,BRA
318,9239.2,10714.74,ITA
319,4407.06,16338.56,AUS
320,92931.23,281.45,ITA
321,56666.53,7057.57,CHN
322,62619.09,1633.51,POL
323,83682.32,256.99,USA
324,0.02,30258.16,USA
325,29488.27,4398.66,USA
326,24780.77,12312.1,USA
327,0,37101.78,BRA
328,28166.63,9220.41,USA
329,74125.55,7573.82,CHN
330,190.58,18804.25,BRA
331,0,32942.43,BRA
332,3630.57,8805.37,BRA
333,26367.83,14263.71,USA
334,0,48324.45,KEN
335,0,47429.84,IND
336,20189.69,17132.49,CHN
337,16465.17,7460.44,ITA
338,37455.54,13005.48,USA
339,313.22,20134.23,BRA
340,84885,6102.73,USA
341,54144.77,4353.89,USA
342,0,36786.78,BRA
343,0,25616.13,BRA
344,78781.54,1317.8,FIN
345,70061.54,3854.38,USA
346,8029.02,25814.55,USA
347,43132.58,7679.1,CHN
348,28596.48,15565.43,USA
349,33836.37,6502.77,USA
350,6242.22,8296.95,PRT
351,4775.95,8391.43,BRA
352,0,37800.11,BRA
353,1399.97,30891.13,AUS
354,1190.31,14245.62,BRA
355,656.98,14681.72,BRA
356,0.37,22911.13,BRA
357,23141.46,14823.62,USA
358,66644.37,4281.62,USA
359,85733.7,2868.13,CAN
360,0,38833.08,BRA
361,57525.74,1433.5,POL
362,88700.27,5654.33,USA
363,7334.93,25152.43,USA
364,2362.71,24271.82,CHN
365,0,32879.83,BRA
366,8293.14,3327.99,USA
367,55461.08,7989.6,USA
368,1.03,26155.45,BRA
